date,host_gender,intro_female_mentions,intro_male_mentions,intro_female_stars,intro_male_stars,intro_both_stars,number_of_guests,g1_gender,g1_location,g1_topic,g1_time,g1_role,g1_questions,g1_interruptions,g2_gender,g2_location,g2_topic,g2_time,g2_role,g2_questions,g2_interruptions,g3_gender,g3_location,g3_topic,g3_time,g3_role,g3_questions,g3_interruptions,g4_gender,g4_location,g4_topic,g4_time,g4_role,g4_questions,g4_interruptions,g5_gender,g5_location,g5_topic,g5_time,g5_role,g5_questions,g5_interruptions,g6_gender,g6_location,g6_topic,g6_time,g6_role,g6_questions,g6_interruptions,number_of_reports,r1_author,r1_guests,r1_guests_women,r1_randos,r1_randos_women,r2_author,r2_guests,r2_guests_women,r2_randos,r2_randos_women,r3_author,r3_guests,r3_guests_women,r3_randos,r3_randos_women,r4_author,r4_guests,r4_guests_women,r4_randos,r4_randos_women,r5_author,r5_guests,r5_guests_women,r5_randos,r5_randos_women,r6_author,r6_guests,r6_guests_women,r6_randos,r6_randos_women,r7_author,r7_guests,r7_guests_women,r7_randos,r7_randos_women,r8_author,r8_guests,r8_guests_women,r8_randos,r8_randos_women,number_of_reports_with_mostly_one_person,r1_main_gender,r1_topic,r2_main_gender,r2_topic,r3_main_gender,r3_topic,r4_main_gender,r4_topic,r5_main_gender,r5_topic,r6_main_gender,r6_topic,r7_main_gender,r7_topic,r8_main_gender,r8_topic,number_of_corresponder_reports,cr1_gender,cr1_number_of_people,cr1_number_of_women,cr2_gender,cr2_number_of_people,cr2_number_of_women,cr3_gender,cr3_number_of_people,cr3_number_of_women,cr4_gender,cr4_number_of_people,cr4_number_of_women,cr5_gender,cr5_number_of_people,cr5_number_of_women
7/13/2020,moški,1.00,2.00,1.00,0.00,0.00,3.00,moški,studio,politika,2:26,drugo,3,0,ženska,studio,politika,2:58,strokovnjak,3,1,moški,studio,politika,6:02,nosilec funkcije,6,0,,,,,,,,,,,,,,,,,,,,,,4,ženska,0,0,9,2,moški,3,1,3,0,moški,0,0,3,0,moški,0,0,3,2,,,,,,,,,,,,,,,,,,,,,0,,politika,,politika,,politika,,okolje,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,moški,0.00,3.00,0.00,0.00,0.00,5.00,ženska,studio,politika,2:39,nosilec funkcije,2,0,ženska,studio,politika,1:43,nosilec funkcije,3,0,ženska,studio,politika,1:42,nosilec funkcije,3,1,moški,studio ,politika ,2:19,nosilec funkcije,3,0,moški,studio ,politika,0.2215277778,drugo,4,0,,,,,,,,2,moški,0,0,6,1,ženska,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,zdravje,moški,politika,,,,,,,,,,,,,1,moški,1,0,,,,,,,,,,,,
7/15/2020,ženska,0.00,4.00,0.00,0.00,0.00,3.00,moški,internet,zdravje,2:31,nosilec funkcije,3,0,moški,studio,zdravje,5:28,strokovnjak,3,0,moški,studio,politika,10:12,nosilec funkcije,7,0,,,,,,,,,,,,,,,,,,,,,,2,moški,2,2,8,2,moški,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,politika,,kultura,,,,,,,,,,,,,1,moški,3,1,,,,,,,,,,,,
7/16/2020,moški,0.00,3.00,0.00,0.00,0.00,2.00,moški,studio,politika,6:03,nosilec funkcije,6,0,moški,studio,okolje,6:04,strokovnjak,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,ženska,0,0,7,1,ženska,0,0,4,1,ženska,1,0,2,0,moški,0,0,5,0,moški,2,0,0,0,,,,,,,,,,,,,,,,0,,ekonomija,,politika,,politika,,politika,,okolje,,,,,,,1,moški,2,0,,,,,,,,,,,,
7/17/2020,ženska,1.00,1.00,0.00,0.00,0.00,3.00,moški,studio,ekonomija,2:26,analitik/komentator,4,0,moški,studio,ekonomija,3:33,drugo,6,0,moški,internet,ekonomija,2:45,drugo,4,0,,,,,,,,,,,,,,,,,,,,,,4,ženska,3,2,0,0,moški,9,4,0,0,moški,0,0,3,0,ženska,3,0,0,0,,,,,,,,,,,,,,,,,,,,,0,,ekonomija,,politika,,politika,,kultura,,,,,,,,,1,moški,7,2,,,,,,,,,,,,
7/20/2020,moški,0.00,3.00,0.00,0.00,0.00,2.00,moški,studio,politika,3:59,analitik/komentator,4,0,moški,studio,ekonomija,6:24,nosilec funkcije,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,ženska,3,1,1,1,ženska,1,1,2,0,moški,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,zdravje,,ekonomija,,ekonomija,,,,,,,,,,,1,moški,7,2,,,,,,,,,,,,
7/21/2020,moški,0.00,3.00,0.00,0.00,0.00,3.00,moški,studio,ekonomija,6:28,analitik/komentator,4,0,moški,internet,zdravje,3:10,drugo,2,0,moški,internet,zdravje,4:08,strokovnjak,3,0,,,,,,,,,,,,,,,,,,,,,,3,ženska,0,0,5,2,ženska,1,0,3,1,moški,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,politika,,zdravje,,zdravje,,,,,,,,,,,1,moški,0,0,,,,,,,,,,,,
7/22/2020,moški,2.00,1.00,0.00,0.00,0.00,3.00,ženska,studio,politika,3:22,nosilec funkcije,4,0,ženska,studio,politika,2:53,drugo,3,0,moški,studio,politika,5:58,drugo,3,0,,,,,,,,,,,,,,,,,,,,,,2,ženska,3,1,0,0,ženska,1,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,ekonomija,,okolje,,,,,,,,,,,,,1,moški in ženska,1,0,,,,,,,,,,,,
7/23/2020,ženska,2.00,2.00,0.00,0.00,0.00,1.00,moški,studio,zdravje,6:35,drugo,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,ženska,0,0,3,0,ženska,0,0,4,2,ženska,2,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,zdravje,,politika,,okolje,,,,,,,,,,,2,ženska,3,0,moški,3,2,,,,,,,,,
7/24/2020,ženska,1.00,2.00,1.00,1.00,0.00,3.00,ženska,internet,zdravje,9:16,strokovnjak,6,0,moški,studio,zdravje,3:12,drugo,6,0,ženska,internet,kultura,3:38,drugo,3,0,,,,,,,,,,,,,,,,,,,,,,3,ženska,2,1,0,0,ženska,0,0,3,0,moški,0,0,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,0,,zdravje,,zdravje,,kultura,,,,,,,,,,,,,,,,,,,,,,,,,,
